timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Vapor Pressure Deficit [2 m],Basel Soil Moisture [0-7 cm down]
20210610T2300,16.750246,0,87.99848,3.563818,135,2.205286,0.355
20210611T0000,16.190247,0,89.68104,3.8268526,131.18591,1.829526,0.355
20210611T0100,15.040245,0,92.44873,3.319036,139.3987,1.2434464,0.354
20210611T0200,14.250245,0,92.94994,3.0547013,135,1.1030226,0.354
20210611T0300,13.680245,0,94.52307,2.0991426,120.96376,0.8256874,0.353
20210611T0400,13.730246,0,94.029045,2.1897945,99.46232,0.90310574,0.353
20210611T0500,15.450245,0,91.93233,2.9024127,97.125015,1.3640518,0.352
20210611T0600,17.710245,0,85.23439,2.2768397,108.434944,2.8836403,0.352
20210611T0700,19.830246,0,77.44702,1.9386592,111.80141,5.030863,0.351
20210611T0800,21.750246,0,68.15789,1.4399999,89.99999,7.9972687,0.35
20210611T0900,23.540245,0,60.32623,1.0182338,44.999985,11.1118965,0.348
20210611T1000,24.810246,0,58.449818,4.6938252,4.398697,12.562157,0.339
20210611T1100,25.720245,0,53.26086,4.73506,8.74614,14.92012,0.338
20210611T1200,26.540245,0,48.204304,5.04,360,17.358608,0.336
20210611T1300,26.880245,0,45.85444,6.519877,353.65985,18.514305,0.333
20210611T1400,27.050245,0,44.257797,7.5942073,354.5597,19.252275,0.331
20210611T1500,27.160246,0,42.69727,8.287822,357.51044,19.919907,0.329
20210611T1600,27.030245,0,42.521633,7.2359104,5.7105865,19.828526,0.328
20210611T1700,26.420246,0,45.490856,4.896529,17.102722,18.138714,0.327
20210611T1800,25.230246,0,51.6099,3.0758414,20.556046,15.002384,0.326
20210611T1900,22.740246,0,61.957188,2.6208394,74.054596,10.150246,0.326
20210611T2000,20.920246,0,66.03519,1.4399999,89.99999,8.105832,0.326
20210611T2100,20.670246,0,67.2388,1.0182338,315,7.6987925,0.326
20210611T2200,18.000246,0,80.65479,1.1384199,288.43497,3.8478508,0.326
20210611T2300,17.100245,0,84.23514,0.8049845,206.56505,2.9620266,0.326
20210612T0000,16.280245,0,87.78565,1.0182338,44.999985,2.178074,0.326
20210612T0100,15.730246,0,89.64561,0.35999998,270,1.7824736,0.326
20210612T0200,15.360246,0,91.56805,2.1897945,189.46233,1.417407,0.326
20210612T0300,14.690246,0,94.443794,2.5455842,171.8699,0.89445686,0.326
20210612T0400,14.770246,0,95.189255,1.835647,168.69006,0.778471,0.326
20210612T0500,16.610245,0,92.299416,2.1897945,189.46233,1.4024181,0.325
20210612T0600,18.900246,0,82.242744,3.4152596,198.43495,3.7376308,0.325
20210612T0700,21.000246,0,73.51976,3.0758414,249.44395,6.350872,0.324
20210612T0800,23.000246,0,65.53968,4.3349743,274.76364,9.340893,0.324
20210612T0900,24.710245,0,59.255463,6.638072,282.5288,12.244961,0.323
20210612T1000,25.870245,0,55.746246,5.4119864,266.1859,14.253336,0.316
20210612T1100,26.420246,0,53.919376,8.311245,265.03027,15.334002,0.315
20210612T1200,26.880245,0,52.504517,10.08,270,16.240406,0.313
20210612T1300,27.340246,0,51.066147,11.570515,275.35583,17.19179,0.311
20210612T1400,27.670246,0,48.50502,12.864649,287.92792,18.445635,0.309
20210612T1500,27.490246,0,47.16398,13.397612,300.6997,18.727089,0.308
20210612T1600,26.710245,0,48.720016,12.538134,309.17365,17.35935,0.307
20210612T1700,26.210245,0,49.220924,11.200571,315,16.68853,0.306
20210612T1800,25.190245,0,51.19908,8.942214,319.8991,15.093634,0.305
20210612T1900,23.310246,0,58.50606,6.989936,325.4915,11.460976,0.305
20210612T2000,21.080246,0,68.06768,6.151683,339.44397,7.696329,0.305
20210612T2100,21.540245,0,63.68277,8.427383,340.0169,9.004426,0.305
20210612T2200,19.130245,0,74.779594,7.289444,20.224854,5.3855,0.304
20210612T2300,18.950245,0,75.72634,6.725354,15.524109,5.125264,0.304
20210613T0000,18.070246,0,79.31483,6.830519,18.434952,4.1325836,0.304
20210613T0100,16.370245,0,86.602425,6.151683,20.556046,2.4028502,0.304
20210613T0200,15.970245,0,87.9869,5.95906,25.016876,2.1000986,0.304
20210613T0300,15.630245,0,88.764755,6.489992,19.440033,1.9217272,0.304
20210613T0400,15.490245,0,88.695015,7.42159,14.03624,1.9163294,0.304
20210613T0500,16.750246,0,84.91125,6.924738,8.972626,2.7725677,0.304
20210613T0600,18.220245,0,75.8044,8.049845,10.30484,4.8798275,0.304
20210613T0700,19.650246,0,70.300804,8.654986,16.927505,6.5511312,0.304
20210613T0800,20.920246,0,65.01218,8.557102,22.249008,8.3499775,0.303
20210613T0900,21.980246,0,60.945793,8.699793,24.443954,9.947797,0.301
20210613T1000,23.320246,0,55.980164,9.028754,23.49855,12.166021,0.294
20210613T1100,24.230246,0,52.432816,9.659814,26.565033,13.889056,0.292
20210613T1200,24.900246,0,48.45712,10.495713,22.166351,15.667556,0.29
20210613T1300,25.470245,0,44.16968,11.165805,20.772247,17.55877,0.288
20210613T1400,25.970245,0,41.864635,10.829958,21.447723,18.835953,0.286
20210613T1500,26.190245,0,38.71556,11.503113,20.136307,20.11724,0.284
20210613T1600,26.110245,0,37.345013,12.181625,18.970398,20.469765,0.282
20210613T1700,25.610245,0,36.903294,11.177405,14.931412,20.010319,0.281
20210613T1800,24.470245,0,39.24631,9.885262,10.49147,17.997198,0.281
20210613T1900,21.970245,0,45.89747,8.049845,10.30484,13.772436,0.28
20210613T2000,19.280245,0,54.621418,8.089993,20.854446,9.781315,0.28
20210613T2100,17.140245,0,61.80437,7.9932966,35.837646,7.1947527,0.281
20210613T2200,15.960245,0,65.61775,7.7043357,37.40535,6.0067644,0.28
20210613T2300,15.050245,0,69.48493,5.991594,57.26477,5.0280724,0.28
20210614T0000,14.030245,0,72.650055,5.4833565,66.8014,4.2183,0.28
20210614T0100,13.190246,0,75.35814,5.4833565,66.8014,3.5978432,0.28
20210614T0200,12.490245,0,77.578835,5.3517847,70.346176,3.1265354,0.28
20210614T0300,11.820246,0,80.54255,5.1544156,77.905235,2.5958557,0.281
20210614T0400,11.620245,0,82.34356,4.73506,81.25384,2.3245754,0.281
20210614T0500,14.610246,0,75.248215,3.9763298,84.805565,3.9640446,0.281
20210614T0600,16.910246,0,65.16758,3.6,89.99999,6.466009,0.28
20210614T0700,19.010244,0,55.89058,3.96,89.99999,9.348546,0.28
20210614T0800,20.950245,0,49.567,4.3349743,85.23635,12.058323,0.279
20210614T0900,22.660246,0,45.53674,4.802999,77.00538,14.460807,0.278
20210614T1000,24.140245,0,44.416363,7.289445,32.905228,16.14207,0.274
20210614T1100,25.580246,0,41.94968,7.386582,43.025055,18.377052,0.272
20210614T1200,26.750246,0,38.46272,5.6002855,44.999985,20.880943,0.27
20210614T1300,27.690245,0,36.244526,5.495161,31.607498,22.864178,0.268
20210614T1400,28.380245,0,34.90115,5.95906,25.016876,24.307583,0.266
20210614T1500,28.870245,0,32.609386,6.28713,13.240509,25.891827,0.264
20210614T1600,28.950245,0,32.566475,6.924738,8.972626,26.029068,0.263
20210614T1700,28.470245,0,35.112614,6.4799995,360,24.356152,0.262
20210614T1800,27.080246,0,41.433243,4.0249224,349.69516,20.26361,0.262
20210614T1900,23.480246,0,51.89585,7.9526596,354.8056,13.424266,0.262
20210614T2000,21.830246,0,52.07969,8.350138,7.431381,12.094534,0.262
20210614T2100,19.930244,0,59.708233,8.654986,16.927505,9.0439,0.262
20210614T2200,19.320246,0,62.066135,8.311245,17.650116,8.197069,0.262
20210614T2300,18.450245,0,66.86415,5.6002855,44.999985,6.780349,0.262
20210615T0000,16.110247,0,77.275116,2.1897945,80.537674,4.0084896,0.262
20210615T0100,14.200245,0,85.53055,1.609969,116.56505,2.2564888,0.262
20210615T0200,13.290245,0,89.808075,2.0991426,120.96376,1.4978485,0.262
20210615T0300,13.120245,0,90.75451,2.0364676,135,1.3437147,0.262
20210615T0400,13.270246,0,90.28485,1.8,126.869896,1.4259119,0.263
20210615T0500,16.410246,0,81.92938,3.0547013,135,3.2492504,0.263
20210615T0600,19.270245,0,69.497154,1.609969,116.56505,6.570757,0.263
20210615T0700,21.490246,0,61.070713,1.2979984,56.30993,9.6224575,0.262
